MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0.0,0.0,0.0,0.0,0.3426425581429387,1.008,0.0,1.00727645209,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.008,1.008,1.0,1.0,0.1125,0.1125,1.112,1.112,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.853276129399244,0.0,0.0,0.0,0.0,0.0,1.426638064699622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.426638064699622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.426638064699622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.426638064699622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,1.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.3426425581429387,1.008,0.0,1.00727645209,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.008,1.008,1.0,1.0,0.1125,0.1125,1.112,1.112,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.853276129399244,0.0,0.0,0.0,0.0,0.0,1.426638064699622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.426638064699622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.426638064699622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.426638064699622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,1.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.382692774814437,-5.621081997501658,12.382692774814437,0.04367213199697173,0.06972302408266542,663.4300000000004,636.2140000000004,663.11021896382,242,0,0.4782931755065388,-0.8588578275127918,0.8588578275127918,0.4782931755065388,1.0454545454545454,1.6818181818181819,2.3636363636363638,31.270371579931645,10.0951085502546,2.470839208537174,-2.2986205637572286,2.5821677548469775,-2.4003845282815313,7.600467803999894,-0.22138011006552225,1.1471947891546252,1555.958626810091,31.973962536829145,22.245021872388666,24.0338762543885,20.67114151319456,12.684098489322675,15.640137091013454,9.784052272999414,12.785186052292424,6.843400620593433,9.409511378795484,4.658717481690026,6.711614932911571,-2.880000000000001,4391373025.084091,32.511482445551025,12.487479886977225,6.698796295266288,246.64517693540836,65.35979406282456,48.46781911887061,23.920842340072497,0.0,7.822697123132171,7.822697123132171,13.655895094434502,23.82761521739654,0.0,0.0,6.076020106833881,17.89167149735289,12.399909779640897,19.541084003790377,67.28140835021846,38.52488030684097,5.409283605791522,24.41894494148346,0.0,55.50042229088555,18.94743140618802,36.70367456607313,0.0,0.0,15.733606474755366,5.817862777835028,0.0,15.645394246264342,111.70167489420689,31.961948170509977,5.409283605791522,12.64872279366088,36.70367456607313,0.0,11.16387793838399,0.0,324.2700000000001,83.83650418760733,44.44955674957113,0.0,28.975666869214294,0.0,6.3273200747645415,34.27025933988116,0.0,0.0,28.310061255888847,20.616676990553806,50.296413069867604,0.0,35.30139155427413,60.1252377242804,6.156030828190051,-0.9240495530208395,0.0,-5.3959543624560355,-1.892340674051706,-11.055617475972502,0.5238095238095238,44,8,21,0,3,3,0,2,2,20,7,23,11,0,2,2,5,-3.466129999999994,138.1601000000001,0,4,4,1,0,4,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.903369385594765,-5.6088655569529795,10.903369385594765,0.37357882968002043,0.4839144154299152,311.18699999999995,294.05099999999993,311.04659688373005,112,0,0.27158071153799823,-0.7895094709326025,0.7895094709326025,0.27158071153799823,1.105263157894737,1.6842105263157894,2.1578947368421053,31.270247836894356,10.115615283154513,2.0999213791277445,-2.343529601737903,2.4970066415071117,-2.1881509685093654,7.580921572509186,-0.3391979939173527,4.16134624817544,431.1591217308342,15.104448006685086,11.028186106185853,12.817040488185683,8.517455850740287,5.496668861985884,8.417855835346767,4.142469325301258,6.842719861790432,1.955705520477166,4.021004484993989,1.1074353956436689,2.532902886158401,-0.2600000000000002,5113.866234776323,18.74,8.12204015373465,12.514799565816103,112.35353705758247,23.76903025490057,0.0,0.0,0.0,7.822697123132171,0.0,8.875679654554915,0.0,0.0,0.0,23.2982492738063,33.61285484492389,0.0,14.429579087645088,32.644709909455486,15.645394246264342,0.0,0.0,0.0,33.61285484492389,6.606881964512918,23.2982492738063,0.0,0.0,14.680234808257424,0.0,0.0,15.645394246264342,6.606881964512918,17.96447510119806,0.0,33.61285484492389,23.2982492738063,0.0,0.0,0.0,121.78,15.645394246264342,23.810331378120082,0.0,6.606881964512918,0.0,18.414747775921285,11.64912463690315,6.923737199690624,19.92349450621513,8.834378531335403,0.0,28.54869896650845,0.0,31.15329995272438,0.0,2.063039808443699,0.0,0.0,5.046514199896535,5.348186568204415,-10.715295051333035,0.6,19,0,7,0,0,0,0,0,0,7,0,9,8,0,0,0,0,1.0094,64.67200000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.40486111111111,0.7083333333333333,9.40486111111111,0.7083333333333333,0.4443450475833798,72.107,64.04299999999999,72.057514876,30,0,0.11947978113414225,-0.30340309725779463,0.30340309725779463,0.11947978113414225,1.8,2.4,2.4,16.12871271764662,10.380675929382486,1.6636987729341335,-1.6800477671236316,1.743585169718209,-1.641993214737829,5.483092870586735,-0.10737864157580468,2.4017152226171965,24.828921423310437,4.121320343559642,3.399812122026584,3.399812122026584,2.414213562373095,1.8510573320459265,1.8510573320459265,0.9553418012614794,0.9553418012614794,0.4065262647925708,0.4065262647925708,0.11785113019775793,0.11785113019775793,-0.33,11.245112497836532,4.67,3.67,3.67,31.99559947106314,4.794537184071822,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,6.4208216229260096,6.4208216229260096,0.0,4.794537184071822,6.286160523129555,0.0,0.0,0.0,19.765380445542643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.286160523129555,4.794537184071822,0.0,19.765380445542643,0.0,0.0,0.0,0.0,17.07,0.0,4.794537184071822,0.0,0.0,6.4208216229260096,12.706982146055566,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,9.40486111111111,0.0,0.0,0.0,0.0,2.614583333333333,1.9805555555555556,0.0,0.75,5,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0.9854,20.971999999999994,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.997825727513227,-2.2217479213907785,9.997825727513227,0.6686328157806334,0.2378914345193498,342.2970000000001,320.12100000000004,342.11621152399994,136,0,0.2235503336827939,-0.39356651499978823,0.39356651499978823,0.2235503336827939,0.782608695652174,1.391304347826087,1.8695652173913044,16.807204796694243,9.986667178387355,2.5782674559547623,-2.4276751930714044,2.3533696597192537,-2.622781479669636,4.97962087488175,-0.38321633665041915,2.1772696581273263,393.2032272794937,17.36144284063629,12.042576132467905,12.042576132467905,10.80689673866558,7.049460184948059,7.049460184948059,5.559383362018339,5.559383362018339,4.0703253390789795,4.0703253390789795,2.6313159666862096,2.6313159666862096,-0.43999999999999995,120494.87399444074,18.89235232228663,7.207281294562587,3.2268020699807716,130.43645768522256,55.062808020125786,49.33464667875103,6.290026729335213,5.7871111525705965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.213763929025836,55.062808020125786,0.0,0.0,0.0,0.0,54.80490259614392,19.820645893538753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.47776764840836,14.210588861400147,0.0,0.0,0.0,0.0,0.0,0.0,189.52999999999997,74.62554848968267,30.63916436904423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.42364365108156,15.446321097883597,0.0,0.0,76.6667781032166,0.0,-2.2217479213907785,0.0,-12.652261642311249,-2.3224229707315027,0.0,1.0,23,8,11,0,2,2,0,0,0,11,8,11,5,0,2,2,2,-5.395599999999993,68.64140000000003,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.97975954270597,-2.3090740740740747,9.97975954270597,0.863100907029478,0.29598246509816506,195.147,184.05899999999997,195.05102627191002,78,0,0.12175215180203058,-0.5472091694087304,0.5472091694087304,0.12175215180203058,1.1538461538461537,1.6153846153846154,1.9230769230769231,16.42418761276132,10.037643578755905,2.298967824350058,-2.2528354854411132,2.0359269382992093,-2.51918688369139,5.699985728357766,-0.3198278996216321,4.235100562818548,170.3657023879603,10.593858127134677,6.569072416372568,6.569072416372568,5.9127900201214985,3.4541950405280217,3.4541950405280217,2.4949797077943896,2.4949797077943896,1.4961798926411094,1.4961798926411094,0.661799016916526,0.661799016916526,-0.73,507.2962513945214,12.27,5.097846203396706,3.2471227706419614,73.49088621303243,35.43370155311605,24.41586555099321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.576187252464766,35.43370155311605,5.969305287951849,0.0,0.0,0.0,24.41586555099321,6.606881964512918,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,62.52468977766149,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,141.28,36.99205280345797,9.901064578912528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.532636974203527,0.0,0.0,9.97975954270597,53.437100812547236,0.0,-1.9752872260015109,0.0,-8.078472222222224,-0.863100907029478,0.0,0.8333333333333334,13,5,7,0,0,0,0,0,0,7,5,7,5,0,0,0,0,-4.827799999999997,36.11999999999999,1,5,5,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.40342970521542,-1.1740277777777772,10.40342970521542,0.08175925925925931,0.33360649420887034,172.16,162.07999999999998,172.06153137991,68,0,0.32788114069052726,-0.8621656533407821,0.8621656533407821,0.32788114069052726,1.75,2.3333333333333335,2.6666666666666665,16.3683842030844,10.160298188357661,2.132328197350079,-2.0888074656062297,2.001785936659891,-2.2320829420982222,5.782116727376714,-0.2162053906370914,4.13697845362924,195.5830567742917,9.560477932315068,6.688086163143852,6.688086163143852,5.574586062669974,3.4545347516290374,3.4545347516290374,2.246169860558745,2.246169860558745,1.1806557777720796,1.1806557777720796,0.6886120804080317,0.6886120804080317,-1.39,316.0667514088061,10.61,5.285246546348043,4.429367321032476,69.73573790454887,15.007591973753234,12.328001352277516,0.0,0.0,0.0,5.969305287951849,4.992404732635669,4.794537184071822,0.0,0.0,0.0,19.242304166974243,6.4208216229260096,0.0,19.802129157825057,18.153211155439017,0.0,0.0,4.992404732635669,25.807221274690605,0.0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,29.30157937942768,9.589074368143644,0.0,19.765380445542643,4.992404732635669,0.0,0.0,0.0,89.79,17.908891461457422,14.69560176298435,0.0,12.841643245852019,6.286160523129555,0.0,6.923737199690624,0.0,0.0,4.992404732635669,5.106527394840706,0.0,0.0,23.593719293272866,18.890290060468633,0.0,-1.7080102040816318,-1.076203703703704,0.7894406651549506,1.1774305555555555,0.0,0.5714285714285714,12,1,5,0,0,0,0,0,0,4,1,5,5,0,0,0,0,-0.8026,39.8308,1,0,0,0,0,0,0,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,1.0,8.0,1.0,0.2897816712562407,46.005,46.005,45.99345181991001,18,0,-0.11173574018618244,-0.44413212990690876,0.44413212990690876,0.11173574018618244,2.0,2.0,2.0,16.582381075700507,13.42456188045853,0.9584442029125779,-1.513369288666229,1.3360348784238136,-1.1179920805727117,4.20979203086829,1.586150847577161,2.1874960973678963,10.264662506490405,2.7071067811865475,1.2637101764276841,1.2637101764276841,1.4142135623730951,0.36514837167011077,0.36514837167011077,0.074535599249993,0.074535599249993,0.0,0.0,0.0,0.0,-0.6000000000000001,2.7548875021634682,2.4000000000000004,1.4000000000000001,1.4,16.817313149337416,10.114318268765572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.340189921973525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.340189921973525,0.0,0.0,10.114318268765572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.114318268765572,0.0,5.340189921973525,0.0,0.0,0.0,52.489999999999995,0.0,0.0,0.0,0.0,0.0,5.340189921973525,0.0,0.0,0.0,0.0,10.114318268765572,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0.25060000000000004,9.161999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.189540305343046,-0.904562036092502,10.189540305343046,0.2338888888888888,0.4360012286909218,255.4219999999999,224.17399999999995,255.23295381191002,108,0,0.04138361686025794,-0.5501718609055201,0.5501718609055201,0.04138361686025794,0.6666666666666666,1.0,1.3333333333333333,16.365129984459486,10.044731922667609,1.9343561909375913,-2.0317070728982816,2.1216330076687258,-2.2087171770758918,5.634958332648154,-0.30534102698425475,2.9229656090325555,177.93577382145608,13.476845205801295,12.215991517539395,12.215991517539395,8.770055610029663,7.968908462243684,7.968908462243684,5.36464915504743,5.36464915504743,3.484454231121842,3.484454231121842,2.287104520263774,2.287104520263774,-0.53,8372.602988287019,17.470000000000002,14.530716454159078,15.469999999999994,113.1691385960185,9.901064578912528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.97359667480276,12.841643245852019,5.969305287951849,0.0,9.901064578912528,5.969305287951849,0.0,0.0,0.0,96.81523992065479,0.0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,96.81523992065479,0.0,0.0,0.0,0.0,40.129999999999995,5.969305287951849,9.901064578912528,0.0,6.4208216229260096,0.0,12.841643245852019,70.62903785218613,0.0,0.0,6.923737199690624,0.0,0.0,0.0,10.189540305343046,10.189540305343046,0.0,-0.904562036092502,0.0,16.93522794314182,2.2569201489312594,0.0,0.9375,18,0,2,0,0,0,0,0,0,2,0,2,14,0,0,0,0,4.217600000000003,75.31900000000006,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
